Categoria,Edad,Genero,Ingresos,Nivel_Estudios,Frec_Trans_Mes,Ocupacion,Has_Credit,Depositos,Zona,Recencia,R,F,M,R_score,F_score,M_score,Cluster
Intermedia,47,Masculino,3025044,Universitario,11,Estudiante,Si,3410006,Urbano,14,14,11,3410006,4,3,3,3
Plena,29,Femenino,8356792,Tecnico,7,Empleado,No,6822279,Rural,90,90,7,6822279,1,2,5,1
Plena,50,Femenino,9378450,Secundaria,6,Ama de casa,Si,13815814,Urbano,39,39,6,13815814,2,2,5,1
Intermedia,52,Femenino,1587087,Universitario,7,Estudiante,No,1100989,Urbano,27,27,7,1100989,2,2,1,0
Basica,52,Masculino,348263,Secundaria,8,Ama de casa,No,294571,Rural,5,5,8,294571,5,2,1,0
Basica,58,Femenino,4562222,Sin educacion,12,Estudiante,Si,3913662,Rural,5,5,12,3913662,5,4,3,3
Basica,55,Femenino,2024906,Secundaria,22,Pensionado,Si,1029566,Rural,1,1,22,1029566,5,5,1,3
Plena,51,Femenino,5634314,Universitario,6,Empleado,Si,7545518,Urbano,60,60,6,7545518,1,2,5,1
Intermedia,44,Femenino,7550913,Secundaria,8,Pensionado,Si,4017044,Rural,27,27,8,4017044,2,2,3,1
Plena,25,Femenino,692273,Secundaria,10,Empleado,Si,996998,Urbano,36,36,10,996998,2,3,1,0
Basica,50,Femenino,3371254,Sin educacion,12,Independiente,Si,4693036,Rural,1,1,12,4693036,5,4,4,2
Plena,47,Femenino,770696,Secundaria,11,Estudiante,No,798073,Urbano,105,105,11,798073,1,3,1,3
Plena,48,Femenino,3904877,Tecnico,16,Independiente,No,4075112,Urbano,53,53,16,4075112,1,5,3,2
Intermedia,30,Femenino,6269753,Secundaria,0,Independiente,Si,7233903,Rural,7,7,0,7233903,4,1,5,1
Basica,32,Masculino,2254056,Sin educacion,0,Empleado,No,1999460,Rural,6,6,0,1999460,4,1,2,0
Basica,58,Masculino,5185348,Universitario,8,Pensionado,No,5948747,Rural,6,6,8,5948747,4,2,4,1
Intermedia,45,Femenino,4360662,Tecnico,15,Ama de casa,No,2375551,Rural,10,10,15,2375551,4,5,2,3
Intermedia,53,Femenino,2505065,Secundaria,2,Empleado,No,1387925,Urbano,22,22,2,1387925,3,1,2,0
Intermedia,45,Masculino,1716868,Universitario,0,Ama de casa,Si,1643438,Urbano,16,16,0,1643438,3,1,2,0
Intermedia,45,Femenino,2734060,Sin educacion,13,Independiente,No,2869730,Rural,10,10,13,2869730,4,4,3,3
Intermedia,56,Femenino,2905760,Secundaria,11,Ama de casa,No,4032665,Urbano,28,28,11,4032665,2,3,3,3
